Time stamp,System power generated | (kW)
1/1/2021 0:00,-27.8014
1/1/2021 1:00,-27.8014
1/1/2021 2:00,-27.8014
1/1/2021 3:00,-27.8014
1/1/2021 4:00,-27.8014
1/1/2021 5:00,-27.8014
1/1/2021 6:00,-27.8014
1/1/2021 7:00,403.505
1/1/2021 8:00,451.347
1/1/2021 9:00,1607.93
1/1/2021 10:00,1386.99
1/1/2021 11:00,2189.8
1/1/2021 12:00,1443.64
1/1/2021 13:00,1892.23
1/1/2021 14:00,926.515
1/1/2021 15:00,903.16
1/1/2021 16:00,140.139
1/1/2021 17:00,-27.8014
1/1/2021 18:00,-27.8014
1/1/2021 19:00,-27.8014
1/1/2021 20:00,-27.8014
1/1/2021 21:00,-27.8014
1/1/2021 22:00,-27.8014
1/1/2021 23:00,-27.8014
1/2/2021 0:00,-27.8014
1/2/2021 1:00,-27.8014
1/2/2021 2:00,-27.8014
1/2/2021 3:00,-27.8014
1/2/2021 4:00,-27.8014
1/2/2021 5:00,-27.8014
1/2/2021 6:00,-27.8014
1/2/2021 7:00,145.277
1/2/2021 8:00,1073.78
1/2/2021 9:00,1636.11
1/2/2021 10:00,2011.24
1/2/2021 11:00,2181.41
1/2/2021 12:00,1452.93
1/2/2021 13:00,1907.13
1/2/2021 14:00,1472.36
1/2/2021 15:00,907.148
1/2/2021 16:00,140.982
1/2/2021 17:00,-27.8014
1/2/2021 18:00,-27.8014
1/2/2021 19:00,-27.8014
1/2/2021 20:00,-27.8014
1/2/2021 21:00,-27.8014
1/2/2021 22:00,-27.8014
1/2/2021 23:00,-27.8014
1/3/2021 0:00,-27.8014
1/3/2021 1:00,-27.8014
1/3/2021 2:00,-27.8014
1/3/2021 3:00,-27.8014
1/3/2021 4:00,-27.8014
1/3/2021 5:00,-27.8014
1/3/2021 6:00,-27.8014
1/3/2021 7:00,114.526
1/3/2021 8:00,508.419
1/3/2021 9:00,1586.18
1/3/2021 10:00,1935.45
1/3/2021 11:00,1508.62
1/3/2021 12:00,2047.53
1/3/2021 13:00,1844.5
1/3/2021 14:00,913.148
1/3/2021 15:00,896.42
1/3/2021 16:00,143.878
1/3/2021 17:00,-27.8014
1/3/2021 18:00,-27.8014
1/3/2021 19:00,-27.8014
1/3/2021 20:00,-27.8014
1/3/2021 21:00,-27.8014
1/3/2021 22:00,-27.8014
1/3/2021 23:00,-27.8014
1/4/2021 0:00,-27.8014
1/4/2021 1:00,-27.8014
1/4/2021 2:00,-27.8014
1/4/2021 3:00,-27.8014
1/4/2021 4:00,-27.8014
1/4/2021 5:00,-27.8014
1/4/2021 6:00,-27.8014
1/4/2021 7:00,419.785
1/4/2021 8:00,1088.44
1/4/2021 9:00,1637.79
1/4/2021 10:00,2032.35
1/4/2021 11:00,2207.31
1/4/2021 12:00,2169.03
1/4/2021 13:00,1920.75
1/4/2021 14:00,1489.06
1/4/2021 15:00,926.16
1/4/2021 16:00,168.559
1/4/2021 17:00,-27.8014
1/4/2021 18:00,-27.8014
1/4/2021 19:00,-27.8014
1/4/2021 20:00,-27.8014
1/4/2021 21:00,-27.8014
1/4/2021 22:00,-27.8014
1/4/2021 23:00,-27.8014
1/5/2021 0:00,-27.8014
1/5/2021 1:00,-27.8014
1/5/2021 2:00,-27.8014
1/5/2021 3:00,-27.8014
1/5/2021 4:00,-27.8014
1/5/2021 5:00,-27.8014
1/5/2021 6:00,-27.8014
1/5/2021 7:00,85.74
1/5/2021 8:00,470.762
1/5/2021 9:00,1603.06
1/5/2021 10:00,1980.76
1/5/2021 11:00,2123.59
1/5/2021 12:00,1471.35
1/5/2021 13:00,1833.01
1/5/2021 14:00,1441.26
1/5/2021 15:00,897.586
1/5/2021 16:00,189.279
1/5/2021 17:00,-27.8014
1/5/2021 18:00,-27.8014
1/5/2021 19:00,-27.8014
1/5/2021 20:00,-27.8014
1/5/2021 21:00,-27.8014
1/5/2021 22:00,-27.8014
1/5/2021 23:00,-27.8014
1/6/2021 0:00,-27.8014
1/6/2021 1:00,-27.8014
1/6/2021 2:00,-27.8014
1/6/2021 3:00,-27.8014
1/6/2021 4:00,-27.8014
1/6/2021 5:00,-27.8014
1/6/2021 6:00,-27.8014
1/6/2021 7:00,382.345
1/6/2021 8:00,1030.27
1/6/2021 9:00,1570.45
1/6/2021 10:00,1955
1/6/2021 11:00,2149.7
1/6/2021 12:00,1519.1
1/6/2021 13:00,1927.95
1/6/2021 14:00,1493.33
1/6/2021 15:00,923.171
1/6/2021 16:00,186.011
1/6/2021 17:00,-27.8014
1/6/2021 18:00,-27.8014
1/6/2021 19:00,-27.8014
1/6/2021 20:00,-27.8014
1/6/2021 21:00,-27.8014
1/6/2021 22:00,-27.8014
1/6/2021 23:00,-27.8014
1/7/2021 0:00,-27.8014
1/7/2021 1:00,-27.8014
1/7/2021 2:00,-27.8014
1/7/2021 3:00,-27.8014
1/7/2021 4:00,-27.8014
1/7/2021 5:00,-27.8014
1/7/2021 6:00,-27.8014
1/7/2021 7:00,60.2901
1/7/2021 8:00,417.561
1/7/2021 9:00,849.189
1/7/2021 10:00,1042
1/7/2021 11:00,1121.83
1/7/2021 12:00,856.524
1/7/2021 13:00,1216.16
1/7/2021 14:00,949.202
1/7/2021 15:00,923.211
1/7/2021 16:00,180.113
1/7/2021 17:00,-27.8014
1/7/2021 18:00,-27.8014
1/7/2021 19:00,-27.8014
1/7/2021 20:00,-27.8014
1/7/2021 21:00,-27.8014
1/7/2021 22:00,-27.8014
1/7/2021 23:00,-27.8014
1/8/2021 0:00,-27.8014
1/8/2021 1:00,-27.8014
1/8/2021 2:00,-27.8014
1/8/2021 3:00,-27.8014
1/8/2021 4:00,-27.8014
1/8/2021 5:00,-27.8014
1/8/2021 6:00,-27.8014
1/8/2021 7:00,154.168
1/8/2021 8:00,580.747
1/8/2021 9:00,1702.05
1/8/2021 10:00,2114.23
1/8/2021 11:00,2306.26
